"Prestashop Product ID";"Reference (SKU)";UPC;EAN;"Product Name";Manufacturer
5679_0;'3700322000098;;'3700322000098;"Dermophil Indien Stick Original pour les Mains 30 g";DERMOPHIL
5674_0;'3614819997122;;'3614819997122;"Etiaxil Antiperspirant Feet Treatment 100ml";COOPER
5671_0;'3614810001323;;'3614810001323;"Hyalugel Forte Spray Buccal 20ml";COOPER
5662_0;'3337875773430;;'3337875773430;"Cerave Moisturizing Foaming Cleansing Oil 236ml";CeraVe
5659_0;'4022167330307;;'4022167330307;"Braun Thermomètre Auriculaire Thermoscan 3";Braun
5631_0;'3534510001129;;'3534510001129;"Berocca Immunity Flash 30 Effervescent Tablets";BEROCCA
5630_0;'3534510000702;;'3534510000702;"Berocca Energie Cassis 30 cp effervescent";BEROCCA
5629_0;'3534510001006;;'3534510001006;"BepanthenDerma® Rich Repairing Cream 200ml";"BAYER SANTE FAMILIALE"
5618_0;'3534510000979;;'3534510000979;"BepanthenDerma® Gel Lavant Doux Corps 400ml";"BAYER SANTE FAMILIALE"
5599_0;'3282770142341;;'3282770142341;"A-derma Universal Multi-Purpose Cream 50ml";A-DERMA
5598_0;'3282770144291;;'3282770144291;"ADERMA DERMALIBOUR CICA CREME 50 ml";A-DERMA
5597_0;'3282770146691;;'3282770146691;"A-Derma Biology AR Anti-Redness Dermatological Care 40ml";A-DERMA
5596_0;'3282770146615;;'3282770146615;"A-Derma Biology Moisturizing Dermatological Rich Cream 40ml";A-DERMA
5594_0;'3282770146547;;'3282770146547;"A-Derma Biology Hydra-cleansing dermatological cleansing milk 200ml";A-DERMA
5593_0;'3282770146578;;'3282770146578;"A-Derma Biology Hydra-Cleansing Dermatological Micellar Water 400ml";A-DERMA
5592_0;'3282770146448;;'3282770146448;"A-Derma 2in1 Emollient Cleansing Gel 2 x 500ml";A-DERMA
5591_0;'3282770145021;;'3282770145021;"ADERMA DERMALIBOUR CICA FOAMING GEL 200ml";A-DERMA
5584_0;'3700640500782;;'3700640500782;"Ialusetcare Plus Crème 25 g";Genevrier
5581_0;'3337875761031;;'3337875761031;"La Roche-Posay Anthelios Age Correct Photocorrection Daily Sun Care SPF50 50ml";"LA ROCHE-POSAY"
5576_0;'4005900913678;;'4005900913678;"Elastoplast Green & Protect Tissu 20 Pansements 2 formats";ELASTOPLAST
5575_0;'4005800288296;;'4005800288296;"Eucerin Urearepair Plus Foot Foam 10% Urea 150ml";EUCERIN
5574_0;'4005900924599;;'4005900924599;"Eucerin Urearepair Plus Emollient 5% Urea Flavored 400ml";EUCERIN
5572_0;'4005800294884;;'4005800294884;"Eucerin Hyaluron-Filler + 3X Effect Sérum Booster D'Hydratation 30 ml";EUCERIN
5570_0;'4005800295003;;'4005800295003;"Eucerin Dermopure Sérum Triple Action 40 ml";EUCERIN
5569_0;'3282770148435;;'3282770148435;"Ducray Kertyol PSO Gel Nettoyant Surgras 400 ml";DUCRAY
5568_0;'3282770146028;;'3282770146028;"Ducray Keracnyl Stop pimple drying gel 10ml";DUCRAY
5567_0;'3282770145175;;'3282770145175;"Ducray Keracnyl UV 50+ Fluide Anti-imperfections Peaux grasses à tendance acnéique 50 ml";DUCRAY
5564_0;'3282770148039;;'3282770148039;"Ducray Palpébral Dexyane MeD 15 ml";DUCRAY
5563_0;'3337875722827;;'3337875722827;"La Roche-Posay Effaclar anti blemish face serum micro peeling acne-prone skin 30ml";"LA ROCHE-POSAY"
5562_0;'3578835504026;;'3578835504026;"Arkopharma Azinc® BIO Acérola 1000 x30 CP";ARKOPHARMA
5560_0;'3578835503906;;'3578835503906;"Arkopharma Azinc Boost 20cp";ARKOPHARMA
5559_0;'3578835503920;;'3578835503920;"Arkopharma Azinc Senior 30cp";ARKOPHARMA
5557_0;'3578835503913;;'3578835503913;"Arkopharma Good Night Phytofluid x20 vials";ARKOPHARMA
5550_0;'3337875774086;;'3337875774086;"Vichy Neovadiol Peri-Menopause Redensifying Night Cream 50ml";VICHY
5545_0;'3504105035921;;'3504105035921;"Mustela Bébé Lait Corps Avocat 500 ml";MUSTELA
5543_0;'3504105034306;;'3504105034306;"Mustela Baby Stelatopia Cleansing Oil 500ml";MUSTELA
5542_0;'3504105034399;;'3504105034399;"Mustela Baby Infant Foam Shampoo 150ml";MUSTELA
5541_0;'3504105036089;;'3504105036089;"Mustela Baby Gel Cold Cream 300ml";MUSTELA
5538_0;'3522930003151;;'3522930003151;"Caudalie Moisturizing Toning Lotion - 200 mL";CAUDALIE
5537_0;'3522931003587;;'3522931003587;"Caudalie Premier Cru The Rich Cream The Refill 50ml";CAUDALIE
5536_0;'3522930003335;;'3522930003335;"Caudalie Vinosource Moisturizing Sorbet Cream - 40 mL";CAUDALIE
5534_0;'3522930003571;;'3522930003571;"Caudalie Premier Cru The Rich Cream 50ml";CAUDALIE
5533_0;'3522930003168;;'3522930003168;"Caudalie Lotion Tonique Hydratante - 400 mL";CAUDALIE
5532_0;'3522930003137;;'3522930003137;"Caudalie Cleansing Almond Milk - 400 mL";CAUDALIE
5531_0;'3522930003052;;'3522930003052;"Caudalie Vine Flower Cleansing Foam - 50 mL";CAUDALIE
5530_0;'3522930003373;;'3522930003373;"Caudalie Vinosource Hydrating Grape Water Jelly - 50 ml";CAUDALIE
5529_0;'3522930003120;;'3522930003120;"Caudalie Cleansing Almond Milk - 200 mL";CAUDALIE
5528_0;'3522930003106;;'3522930003106;"Caudalie Micellar Cleansing Water - 400 mL";CAUDALIE
5527_0;'3522930003625;;'3522930003625;"Caudalie Vinotherapist Lipid-Replenishing Vegan Body Butter 250ml";CAUDALIE
5524_0;'3522930003489;;'3522930003489;"Caudalie Anti-Fatigue Vitamin C Serum 30ml";CAUDALIE
5523_0;'3522930003458;;'3522930003458;"Caudalie Vinopure Skin Perfecting Mattifying Fluid - 40 mL";CAUDALIE
5522_0;'3522930003540;;'3522930003540;"Caudalie Premier Cru The Serum 30ml";CAUDALIE
5521_0;'3522930003632;;'3522930003632;"Caudalie Vinotherapist Soin Corps Nourrissant Hyaluronique 200 mL";CAUDALIE
5519_0;'3282770150261;;'3282770150261;"Avène Cicalfate+ Purifying Cleansing Gel 200ml";AVENE
5516_0;'3578835500592;;'3578835500592;"Arkopharma Arkogélules BIO Spiruline x 150";ARKOPHARMA
5506_0;'3700399101582;;'3700399101582;"Iprad Thalamag Boost 30 comprimés";IPRAD
5505_0;'3701129803691;;'3701129803691;"Bioderma Photoderm AKN Mat, anti-blemish mattifying corrective fluid for acne-prone skin 40ml";BIODERMA
5492_0;'3596200088766;;'3596200088766;"Weleda Iris Moisturizing Day Cream 30ml";WELEDA
5484_0;'3337871318888;;'3337871318888;"Vichy Homme Sensi Baume, Anti-reaction comfort balm - Sensitive skin 75 ml";VICHY
5483_0;'3282770147896;;'3282770147896;"Avène Men Shaving Gel 150ml";AVENE
5475_0;'4005900649614;;'4005900649614;"Nobacter Shaving Foam 2 x 150ml";EUCERIN
5470_0;'3282770147919;;'3282770147919;"Avène Men Shaving Foam 200ml";AVENE
5467_0;'3282770147926;;'3282770147926;"Avène Men Shaving Foam 50ml";AVENE
5458_0;'3578835501797;;'3578835501797;"Arkopharma Arkogélules BIO Gingembre x 40";ARKOPHARMA
5455_0;'6001159124863;;'6001159124863;"Bi-Oil Natural Oil 60ml";"OMEGA PHARMA"
5445_0;'3578835503234;;'3578835503234;"Arkopharma Azinc Immunité 30 comprimés";ARKOPHARMA
5440_0;'3282770202274;;'3282770202274;"Ducray Kelual Keratoreducing emulsion cradle cap 50ml";DUCRAY
5439_0;'3661434008658;;'3661434008658;"Uriage Bébé 1ère Crème Hydratante 40ml";URIAGE
5436_0;'3504105035952;;'3504105035952;"Mustela Bébé Moisturizing Face Cream Avocado 40ml";MUSTELA
5431_0;'3504105035853;;'3504105035853;"Mustela Baby Avocado Massage Oil 100ml";MUSTELA
5427_0;'3572731202635;;'3572731202635;"Modilac expert 1 Rice AR 800g";Modilac
5424_0;'4022167004000;;'4022167004000;"Braun Thermometer Non Contact + Contact BNT 400";Braun
5411_0;'3504105036027;;'3504105036027;"Mustela Bébé Refreshing and Styling Water 200ml";MUSTELA
5396_0;'9001616812347;;'9001616812347;"MAM Nature Pattern Silicone Pacifiers +16 months";MAM
5393_0;'9001616812323;;'9001616812323;"MAM Nature Pattern Silicone Pacifiers 2-6 months";MAM
5385_0;'3661434008627;;'3661434008627;"Uriage Bébé 1er Shampoing 200ml";URIAGE
5380_0;'3504105036034;;'3504105036034;"Mustela Baby 2-in-1 Cleansing Gel Avocado 200ml";MUSTELA
5377_0;'3504105036133;;'3504105036133;"Mustela Baby Gentle Shampoo 500ml";MUSTELA
5376_0;'3661434008689;;'3661434008689;"Uriage Baby 1st Cleansing Cream 1L";URIAGE
5374_0;'7630019903943;;'7630019903943;"GUM Gel Dentifrice KIDS 2-6 ans 2x 50ml";GUM
5373_0;'3564300031876;;'3564300031876;"Respimer mouche bébé + 5 filtres";"OMEGA PHARMA"
5370_0;'3595890257438;;'3595890257438;"Respimer Baby decongestion spray 125ml";"OMEGA PHARMA"
5366_0;'8718951412880;;'8718951412880;"ELMEX Toothpaste 3-6 YEARS 2 x 50ml";ELMEX
5353_0;'3282770114072;;'3282770114072;"Klorane Bébé Lingettes nettoyantes douces au Calendula apaisant Peau normale à sèche 25 unités";KLORANE
5352_0;'3504105036904;;'3504105036904;"Mustela Baby Change Spray 75ml";MUSTELA
5349_0;'3661434008597;;'3661434008597;"Uriage Crème Change 100ml";URIAGE
5347_0;'3504105036546;;'3504105036546;"Mustela Organic Cotton Wipes with Water x 60";MUSTELA
5346_0;'3701129802168;;'3701129802168;"Bioderma ABCDerm Intensive Change, baby anti-redness diaper cream 75 g";BIODERMA
5344_0;'3661434008757;;'3661434008757;"Uriage Bébé 1ères Lingettes Nettoyante x70";URIAGE
5341_0;'3701129800980;;'3701129800980;"Bioderma ABCDerm H2O Biodegradable wipes baby and children normal to dry skin 60 units";BIODERMA
5340_0;'3661434008726;;'3661434008726;"Uriage 1er Baby Cleansing Water 1L";URIAGE
5336_0;'3282770105001;;'3282770105001;"Klorane Bébé Gentle cleansing wipes with soothing Calendula Normal to dry skin 70 units";KLORANE
5330_0;'3701129803721;;'3701129803721;"Bioderma Photoderm MINERAL Fluid, SPF50+, for skin allergic to chemical filters 75g";BIODERMA
5329_0;'3282770149524;;'3282770149524;"Avène - Tinted cream SPF 50+ 50ml";AVENE
5327_0;'3701129803714;;'3701129803714;"Bioderma Photoderm M, anti-recurrence clarifying gel-cream SPF50+ 40ml";BIODERMA
5325_0;'3337875797399;;'3337875797399;"La Roche-Posay Anthelios Pigment Correct Daily Sun Care Photocorrection Spf50+ 50Ml";"LA ROCHE-POSAY"
5324_0;'3662361002566;;'3662361002566;"SVR Sun Secure Spray Pocket Spf 50 20 ML";SVR
5323_0;'3662361001729;;'3662361001729;"SVR Sun Secure Fluide SPF50+ 50 ml";SVR
5319_0;'3282770209419;;'3282770209419;"A-DERMA EPITHELIALE AH ULTRA50+ 100ML";A-DERMA
